iter	Passed	Remaining
0	1126	2251312
1	2198	2196621
2	3217	2141627
3	4233	2112598
4	5246	2093162
5	6255	2078874
6	7261	2067475
7	8273	2060220
8	9277	2052478
9	10390	2067677
10	11461	2072423
11	12479	2067403
12	13485	2061219
13	14506	2057802
14	15513	2052919
15	16526	2049232
16	17563	2048745
17	18598	2047852
18	19620	2045673
19	20630	2042454
20	21653	2040609
21	22668	2038145
22	23665	2034174
23	24685	2032452
24	25695	2029933
25	26720	2028690
26	27733	2026611
27	28761	2025631
28	29758	2022523
29	30755	2019628
30	31781	2018624
31	32788	2016483
32	33811	2015400
33	34811	2012910
34	35827	2011445
35	36840	2009876
36	37855	2008368
37	38848	2005789
38	39871	2004831
39	40958	2006972
40	41978	2005752
41	42982	2003806
42	44000	2002533
43	45006	2000748
44	46064	2001262
45	47078	1999820
46	48110	1999153
47	49125	1997766
48	50153	1996928
49	51147	1994751
50	52148	1992898
51	53163	1991575
52	54191	1990782
53	55204	1989389
54	56219	1988116
55	57212	1986105
56	58212	1984339
57	59238	1983479
58	60249	1982122
59	61275	1981243
60	62295	1980190
61	63316	1979162
62	64333	1978004
63	65350	1976846
64	66362	1975575
65	67377	1974362
66	68388	1973063
67	69406	1971960
68	70453	1971673
69	71475	1970694
70	72495	1969633
71	73534	1969098
72	74537	1967595
73	75570	1966883
74	76583	1965634
75	77606	1964680
76	78671	1964738
77	79681	1963445
78	80730	1963068
79	81755	1962127
80	82768	1960890
81	83778	1959610
82	84793	1958434
83	85818	1957486
84	86826	1956146
85	87857	1955332
86	88881	1954379
87	89903	1953368
88	90907	1951959
89	91927	1950913
90	92930	1949502
91	93956	1948572
92	94965	1947299
93	95991	1946387
94	97010	1945319
95	98032	1944306
96	99063	1943488
97	100090	1942564
98	101099	1941313
99	102122	1940330
100	103129	1939037
101	104145	1937923
102	105176	1937080
103	106180	1935757
104	107206	1934830
105	108212	1933530
106	109255	1932894
107	110274	1931849
108	111280	1930555
109	112297	1929483
110	113304	1928214
111	114337	1927411
112	115365	1926498
113	116386	1925485
114	117406	1924448
115	118438	1923604
116	119458	1922559
117	120468	1921362
118	121489	1920346
119	122517	1919434
120	123551	1918617
121	124578	1917690
122	125637	1917246
123	126653	1916138
124	127682	1915233
125	128721	1914472
126	129732	1913297
127	130769	1912508
128	131786	1911413
129	132797	1910237
130	133827	1909336
131	134849	1908327
132	135868	1907269
133	136899	1906371
134	137917	1905302
135	138933	1904205
136	139937	1902947
137	140958	1901918
138	141971	1900783
139	142993	1899773
140	143992	1898452
141	144985	1897070
142	146000	1895962
143	147028	1895027
144	148026	1893723
145	149038	1892588
146	150063	1891612
147	151087	1890631
148	152101	1889532
149	153108	1888335
150	154148	1887554
151	155159	1886418
152	156176	1885351
153	157198	1884335
154	158206	1883172
155	159226	1882135
156	160246	1881115
157	161242	1879797
158	162241	1878536
159	163252	1877404
160	164272	1876374
161	165277	1875183
162	166279	1873963
163	167284	1872772
164	168299	1871693
165	169300	1870461
166	170314	1869379
167	171330	1868320
168	172356	1867363
169	173366	1866237
170	174390	1865269
171	175408	1864224
172	176449	1863424
173	177463	1862351
174	178484	1861343
175	179484	1860112
176	180500	1859053
177	181540	1858243
178	182561	1857233
179	183568	1856080
180	184574	1854925
181	185585	1853817
182	186588	1852627
183	187598	1851515
184	188603	1850348
185	189625	1849358
186	190639	1848282
187	191659	1847270
188	192652	1846002
189	193665	1844917
190	194661	1843680
191	195660	1842469
192	196664	1841310
193	197694	1840397
194	198711	1839356
195	199722	1838265
196	200737	1837203
197	201765	1836266
198	202780	1835212
199	203785	1834070
200	204779	1832828
201	205778	1831635
202	206790	1830554
203	207799	1829448
204	208801	1828285
205	209803	1827125
206	210814	1826038
207	211835	1825044
208	212832	1823843
209	213817	1822541
210	214830	1821481
211	215829	1820296
212	216838	1819202
213	217836	1818015
214	218878	1817198
215	219878	1816031
216	220867	1814778
217	221867	1813615
218	222888	1812622
219	223881	1811408
220	224917	1810534
221	225921	1809408
222	226939	1808393
223	227951	1807326
224	228964	1806274
225	229980	1805242
226	230991	1804178
227	232007	1803143
228	232993	1801881
229	233997	1800762
230	235013	1799738
231	235988	1798397
232	236989	1797252
233	238002	1796209
234	239012	1795134
235	240018	1794039
236	241039	1793050
237	242032	1791857
238	243025	1790659
239	244025	1789518
240	245047	1788540
241	246075	1787609
242	247091	1786586
243	248089	1785433
244	249096	1784343
245	250100	1783236
246	251121	1782249
247	252126	1781153
248	253134	1780074
249	254155	1779087
250	255152	1777934
251	256169	1776921
