epoch,train_loss,train_acc,val_loss,val_acc
0,3.9103,0.0223,3.8785,0.0222
1,3.7715,0.0495,3.7009,0.0556
2,3.6539,0.0638,3.6,0.0822
3,3.5657,0.0759,3.5433,0.08
4,3.5014,0.091,3.4957,0.1044
5,3.4427,0.1019,3.4429,0.0933
6,3.3822,0.1143,3.4034,0.1022
7,3.3273,0.1227,3.3637,0.1133
8,3.2897,0.1299,3.3445,0.12
9,3.2562,0.1372,3.315,0.1267
10,3.2305,0.1414,3.277,0.12
11,3.2067,0.1463,3.2519,0.1244
12,3.1853,0.1499,3.2432,0.1267
13,3.1721,0.1546,3.2233,0.1356
14,3.1582,0.1567,3.2113,0.1222
15,3.141,0.1591,3.1939,0.1378
16,3.1304,0.1617,3.1788,0.1311
17,3.1188,0.1633,3.1726,0.14
18,3.106,0.1652,3.1789,0.1422
19,3.097,0.1678,3.1658,0.1444
20,3.0826,0.1707,3.1254,0.1533
21,3.069,0.1719,3.1163,0.1511
22,3.0584,0.1758,3.1043,0.1711
23,3.0459,0.1785,3.1093,0.1444
24,3.0347,0.18,3.0911,0.1467
25,3.0246,0.1833,3.0901,0.1578
26,3.0128,0.1852,3.0743,0.16
27,3.006,0.1866,3.0862,0.1578
28,3.0007,0.1889,3.0411,0.1711
29,2.9844,0.1912,3.047,0.1711
30,2.9789,0.1912,3.0321,0.1733
31,2.9693,0.1935,3.0133,0.1644
32,2.9615,0.1961,3.0283,0.1711
33,2.9542,0.1976,3.0033,0.1689
34,2.9451,0.2007,3.025,0.1911
35,2.938,0.2032,2.9999,0.1778
36,2.9298,0.2034,3.0012,0.1911
37,2.9239,0.2045,2.9891,0.1889
38,2.9161,0.2068,2.9825,0.1889
39,2.9119,0.2098,2.9739,0.2044
40,2.9017,0.2105,2.9641,0.1844
41,2.8934,0.2125,2.979,0.2022
42,2.8902,0.2141,2.947,0.1844
43,2.8825,0.2143,2.9682,0.1844
44,2.8749,0.2174,2.9411,0.2044
45,2.8672,0.2193,2.9416,0.2178
46,2.8594,0.221,2.9315,0.1956
47,2.8524,0.2225,2.9246,0.1933
48,2.8466,0.2224,2.9354,0.1978
49,2.8419,0.2241,2.9082,0.1978
50,2.8369,0.2254,2.9068,0.2044
51,2.828,0.2273,2.9091,0.2089
52,2.8222,0.23,2.9127,0.1978
53,2.8161,0.2303,2.8857,0.2111
