epoch,train_loss,train_acc,val_loss,val_acc
0,3.9076,0.0241,3.8645,0.04
1,3.7885,0.0481,3.7217,0.04
2,3.7052,0.0609,3.6511,0.0667
3,3.6233,0.0762,3.5962,0.0778
4,3.5613,0.0833,3.5714,0.0933
5,3.5171,0.089,3.5434,0.0711
6,3.4921,0.0935,3.5484,0.0689
7,3.4757,0.0965,3.5346,0.0778
8,3.464,0.0981,3.5364,0.0511
9,3.4515,0.1012,3.5238,0.0711
10,3.4433,0.1048,3.5302,0.08
11,3.4326,0.1065,3.5415,0.0978
12,3.422,0.1087,3.5504,0.0867
13,3.4096,0.1113,3.5058,0.0822
14,3.3978,0.1133,3.4805,0.0956
15,3.3851,0.1178,3.4781,0.0889
16,3.3738,0.121,3.4704,0.0956
17,3.3644,0.1241,3.4612,0.0844
18,3.3552,0.1258,3.4598,0.1111
19,3.3444,0.1283,3.4557,0.0889
20,3.3353,0.132,3.428,0.1044
21,3.3255,0.1336,3.459,0.1044
22,3.3202,0.1331,3.421,0.1111
23,3.3092,0.1372,3.4235,0.1178
24,3.3049,0.1387,3.4223,0.1244
25,3.2963,0.1405,3.4147,0.1111
26,3.291,0.1421,3.3964,0.1244
27,3.2867,0.1422,3.4074,0.1156
28,3.2802,0.145,3.3954,0.1222
29,3.2725,0.1453,3.3926,0.1178
30,3.2653,0.1473,3.3787,0.1222
31,3.2596,0.1488,3.382,0.1333
32,3.2536,0.1485,3.3799,0.1222
33,3.2463,0.1518,3.3773,0.1244
34,3.2415,0.1528,3.3772,0.1378
35,3.2337,0.1543,3.365,0.1178
36,3.2297,0.1539,3.3529,0.1267
37,3.2204,0.1574,3.3728,0.1267
38,3.2172,0.1587,3.3468,0.1333
39,3.2104,0.1582,3.3458,0.1333
40,3.2053,0.1607,3.341,0.12
41,3.1974,0.1619,3.3349,0.1178
42,3.1917,0.1648,3.3444,0.1289
43,3.1861,0.1653,3.3342,0.14
44,3.181,0.1671,3.3189,0.1333
45,3.1757,0.1672,3.317,0.1356
46,3.1715,0.1684,3.2917,0.1311
47,3.1626,0.171,3.3055,0.1356
48,3.1607,0.1718,3.3187,0.1422
49,3.1556,0.1712,3.2924,0.1378
50,3.1493,0.1743,3.2965,0.14
51,3.1428,0.1751,3.3005,0.1356
52,3.1414,0.1759,3.2932,0.1333
53,3.1342,0.1776,3.2762,0.14
54,3.1295,0.1784,3.2636,0.1444
55,3.1241,0.179,3.2566,0.1533
56,3.1231,0.1819,3.268,0.1511
57,3.1161,0.1825,3.2504,0.1533
58,3.1127,0.1841,3.261,0.14
59,3.107,0.1851,3.2437,0.1444
60,3.1009,0.1874,3.25,0.14
61,3.0974,0.1883,3.2189,0.1533
62,3.0931,0.1881,3.2341,0.1422
63,3.089,0.1898,3.2324,0.1489
64,3.0847,0.1906,3.2251,0.1556
65,3.0779,0.1929,3.2093,0.16
66,3.0758,0.1907,3.2428,0.1689
67,3.0707,0.1944,3.2153,0.16
68,3.0682,0.1939,3.2079,0.1556
69,3.0624,0.1964,3.2232,0.1578
70,3.0603,0.1969,3.1998,0.1467
71,3.0565,0.1981,3.1984,0.16
72,3.0529,0.1985,3.1937,0.1689
73,3.0457,0.2002,3.1878,0.1667
74,3.0436,0.2005,3.1782,0.1644
75,3.0405,0.2008,3.1745,0.1689
76,3.0348,0.2024,3.1856,0.1756
77,3.0299,0.2043,3.1768,0.1556
78,3.027,0.2045,3.1834,0.1667
79,3.0235,0.2049,3.1697,0.1689
80,3.0193,0.2071,3.1623,0.1711
81,3.0145,0.2067,3.1538,0.1756
82,3.014,0.2075,3.2023,0.1556
83,3.0098,0.2079,3.1739,0.1733
84,3.0059,0.2106,3.1491,0.1778
85,3.0017,0.2105,3.1661,0.1622
86,2.9998,0.2111,3.1492,0.1778
87,2.9977,0.2123,3.1522,0.1756
88,2.9915,0.2139,3.1348,0.1711
89,2.9875,0.2149,3.1494,0.1622
90,2.9832,0.2152,3.1454,0.1667
91,2.9827,0.2143,3.1316,0.1778
92,2.9778,0.2153,3.1364,0.1689
93,2.9753,0.2164,3.1429,0.1844
94,2.9726,0.217,3.1323,0.1778
95,2.9696,0.2171,3.1274,0.16
96,2.968,0.2195,3.1633,0.1644
97,2.9635,0.2184,3.1394,0.1667
98,2.9591,0.2215,3.1482,0.16
99,2.9548,0.2218,3.1359,0.1778
