epoch,train_loss,train_acc,val_loss,val_acc
0,3.9088,0.0233,3.8619,0.0511
1,3.77,0.0478,3.7092,0.0489
2,3.6833,0.0618,3.6433,0.0644
3,3.615,0.0736,3.5975,0.0711
4,3.5619,0.0803,3.5507,0.0867
5,3.4943,0.0923,3.4947,0.1044
6,3.4316,0.1035,3.4313,0.1044
7,3.3876,0.11,3.4067,0.1156
8,3.3532,0.1177,3.3874,0.1067
9,3.3309,0.1221,3.3948,0.1156
10,3.2996,0.1276,3.3414,0.1111
11,3.2672,0.1352,3.3107,0.1244
12,3.2378,0.1412,3.2979,0.1222
13,3.2189,0.1437,3.2841,0.1267
14,3.1989,0.1488,3.2594,0.1156
15,3.1827,0.1525,3.2364,0.1178
16,3.1642,0.1558,3.2143,0.1244
17,3.1485,0.1589,3.2262,0.1267
18,3.1373,0.162,3.2085,0.1289
19,3.1249,0.163,3.1914,0.12
20,3.1146,0.1664,3.1745,0.1422
21,3.103,0.1675,3.1683,0.14
22,3.0898,0.1711,3.1558,0.1422
23,3.0833,0.1716,3.1477,0.1356
24,3.073,0.1729,3.1445,0.1422
25,3.0659,0.1739,3.1296,0.14
26,3.0544,0.1753,3.1343,0.1311
27,3.0466,0.178,3.1357,0.1422
28,3.0372,0.18,3.1005,0.1667
29,3.029,0.1818,3.0913,0.1467
30,3.0242,0.1825,3.0832,0.1556
31,3.017,0.1851,3.0827,0.16
32,3.0071,0.1866,3.084,0.1644
33,2.9988,0.1879,3.0733,0.1956
34,2.9915,0.1913,3.065,0.1667
35,2.9841,0.1923,3.0588,0.18
36,2.9806,0.1931,3.0672,0.1644
37,2.9706,0.1949,3.0496,0.1556
38,2.9639,0.1971,3.0455,0.1911
39,2.9603,0.1971,3.0544,0.1644
40,2.951,0.1991,3.0827,0.1711
41,2.9486,0.1995,3.0356,0.1756
42,2.9407,0.201,3.0283,0.1711
43,2.9348,0.203,3.0192,0.18
44,2.9321,0.2045,3.017,0.18
45,2.9212,0.2066,3.0127,0.1778
46,2.9139,0.2077,3.0179,0.1867
47,2.9104,0.2093,3.0091,0.1889
48,2.9019,0.2109,2.989,0.1867
49,2.9013,0.2096,2.989,0.1911
50,2.892,0.2117,2.9799,0.1889
51,2.8891,0.213,2.9934,0.18
52,2.8841,0.214,2.9832,0.1911
53,2.8807,0.2153,2.9655,0.1911
54,2.8697,0.2188,2.9551,0.1911
55,2.8671,0.2192,2.9623,0.1822
56,2.8631,0.2205,2.9512,0.1822
57,2.8555,0.2214,2.974,0.2044
58,2.8551,0.2209,2.9588,0.1911
59,2.8455,0.2224,2.9387,0.2067
60,2.8435,0.2252,2.9364,0.1978
61,2.8367,0.2254,2.946,0.1889
62,2.8326,0.2255,2.9396,0.2022
63,2.8253,0.2278,2.9318,0.1978
64,2.8215,0.2294,2.9218,0.22
65,2.8201,0.2297,2.9396,0.2111
66,2.8109,0.2328,2.9224,0.2
67,2.808,0.2322,2.9178,0.2089
68,2.8022,0.2335,2.906,0.2156
69,2.8026,0.2325,2.9222,0.22
70,2.7949,0.236,2.9267,0.2111
71,2.7905,0.2364,2.8993,0.2244
72,2.7846,0.239,2.9008,0.2111
73,2.7788,0.2389,2.9042,0.2244
74,2.778,0.2403,2.8855,0.2311
75,2.7696,0.2415,2.9079,0.2267
76,2.7687,0.2421,2.8814,0.2489
77,2.7642,0.2433,2.8871,0.2022
78,2.7598,0.2422,2.8919,0.2111
79,2.7542,0.2467,2.8732,0.22
80,2.7532,0.2454,2.8817,0.2178
81,2.7442,0.2485,2.8616,0.2289
82,2.7413,0.2485,2.8741,0.2156
83,2.7389,0.2493,2.8648,0.2222
84,2.7335,0.2504,2.8893,0.2267
85,2.728,0.2501,2.8783,0.2311
86,2.7245,0.2527,2.865,0.2133
87,2.7206,0.2533,2.8607,0.2222
88,2.7194,0.2528,2.8583,0.2356
89,2.7106,0.2547,2.8551,0.2244
90,2.7064,0.257,2.8548,0.2311
91,2.7053,0.2571,2.8586,0.22
92,2.6992,0.2581,2.8467,0.2356
93,2.6934,0.2589,2.8442,0.2333
94,2.6902,0.2614,2.8496,0.2356
95,2.6871,0.261,2.8578,0.2267
96,2.6849,0.2612,2.8293,0.2311
97,2.6792,0.2635,2.8581,0.2289
98,2.6742,0.2645,2.8473,0.2467
99,2.671,0.2652,2.8356,0.2422
100,2.6679,0.2658,2.8295,0.2289
101,2.6622,0.2676,2.8384,0.2156
102,2.6577,0.2681,2.8282,0.2444
103,2.6564,0.2686,2.8332,0.2378
104,2.6515,0.2695,2.8121,0.2378
105,2.6459,0.2718,2.8294,0.2356
106,2.6448,0.2728,2.818,0.24
107,2.6381,0.2736,2.8099,0.2378
108,2.6374,0.273,2.8222,0.2378
109,2.6317,0.2743,2.8252,0.24
110,2.6305,0.2742,2.8391,0.2511
111,2.6272,0.278,2.8071,0.2378
112,2.6221,0.2766,2.8067,0.2422
113,2.6175,0.2762,2.812,0.2333
114,2.6154,0.279,2.8222,0.2467
115,2.6107,0.2795,2.8075,0.2533
116,2.6051,0.2815,2.7916,0.2422
117,2.6006,0.2847,2.8114,0.24
118,2.6007,0.2812,2.793,0.26
119,2.5959,0.2833,2.7791,0.2511
120,2.5958,0.2823,2.7988,0.2444
121,2.5893,0.2838,2.7964,0.2467
122,2.5857,0.2868,2.783,0.2556
123,2.5847,0.2855,2.7956,0.2378
124,2.5802,0.2885,2.7845,0.2511
125,2.5717,0.2875,2.8082,0.26
126,2.5737,0.2878,2.781,0.2533
127,2.5716,0.2893,2.7927,0.2556
128,2.5637,0.2918,2.805,0.2578
129,2.5635,0.2892,2.7943,0.2244
130,2.5584,0.2911,2.7777,0.2467
131,2.5582,0.2921,2.803,0.2533
132,2.5529,0.2937,2.7748,0.2644
133,2.5531,0.2927,2.7691,0.2489
134,2.5485,0.2938,2.796,0.2467
135,2.5428,0.2968,2.7572,0.2489
136,2.5396,0.2966,2.7805,0.2489
137,2.5374,0.297,2.7795,0.2444
138,2.5336,0.2982,2.7576,0.2489
139,2.5281,0.3006,2.7776,0.2422
140,2.5284,0.2989,2.7924,0.2511
141,2.5245,0.2996,2.7635,0.2444
142,2.5227,0.3015,2.7654,0.2467
143,2.5181,0.3021,2.8026,0.2378
144,2.5127,0.3044,2.773,0.2511
145,2.5135,0.3038,2.7593,0.2644
146,2.5124,0.3033,2.7979,0.26
147,2.5073,0.3044,2.7764,0.2444
148,2.5041,0.3053,2.7844,0.24
149,2.5028,0.3046,2.7585,0.2578
150,2.4945,0.3064,2.7598,0.2667
151,2.4932,0.3059,2.753,0.2467
152,2.494,0.3089,2.7767,0.2644
153,2.4872,0.3089,2.7594,0.2489
154,2.4869,0.3097,2.7503,0.2622
155,2.4868,0.309,2.7947,0.2467
156,2.4781,0.3107,2.7699,0.2578
157,2.4798,0.3101,2.7668,0.2556
158,2.4726,0.3119,2.7691,0.2556
159,2.4708,0.3115,2.7691,0.2578
160,2.4665,0.3133,2.7535,0.26
161,2.4663,0.3142,2.7689,0.2556
162,2.461,0.3159,2.7756,0.2511
163,2.4616,0.3155,2.7668,0.2622
164,2.4598,0.3151,2.7702,0.2489
165,2.457,0.3168,2.7802,0.2444
166,2.4527,0.3186,2.7521,0.2622
167,2.4519,0.3194,2.7593,0.2578
168,2.4474,0.3182,2.7864,0.26
169,2.4454,0.3197,2.7717,0.2378
170,2.4418,0.3203,2.7751,0.24
171,2.4369,0.3214,2.7713,0.2622
172,2.4366,0.322,2.7522,0.2644
173,2.4315,0.3222,2.7436,0.2867
174,2.4303,0.3233,2.772,0.2489
175,2.4278,0.3253,2.7502,0.2556
176,2.4239,0.3233,2.7405,0.2511
177,2.4221,0.3251,2.774,0.2689
178,2.4225,0.3248,2.8139,0.2511
179,2.4157,0.326,2.8031,0.2378
180,2.4142,0.3261,2.7579,0.24
181,2.4151,0.3261,2.7751,0.2533
182,2.412,0.3264,2.7466,0.2578
183,2.4038,0.329,2.7729,0.2667
184,2.4058,0.3297,2.7822,0.2467
185,2.402,0.3294,2.7557,0.2511
186,2.3983,0.3313,2.7723,0.2578
187,2.3955,0.3308,2.8019,0.2333
188,2.3943,0.3313,2.7613,0.26
189,2.3898,0.3325,2.7727,0.2533
190,2.3907,0.3319,2.7837,0.2489
191,2.3857,0.3336,2.7828,0.2511
192,2.3844,0.3343,2.8192,0.2311
193,2.3805,0.3349,2.7825,0.2511
194,2.3772,0.3354,2.7761,0.2378
195,2.3759,0.3351,2.7748,0.2578
196,2.3751,0.3355,2.7781,0.2467
197,2.3698,0.3373,2.7621,0.2556
198,2.3709,0.3378,2.7722,0.2556
199,2.365,0.3391,2.7859,0.2311
